#Chinese	#English
一花一世界 一葉一如來	One can find a world in a flower; One can see a buddha in a leaf.
一花一世界，一葉一如來	there is a world in a single flower; a buddha in a single leaf
一花一木都有生命 一山一水都有生機 一人一事都有道理 一舉一動都有因果	Every flower and tree has its own life, Every mountain and river has its own vitality, Every person and matter has its own reasons, Every move and action has its own cause and effect.
一花一界 一人一佛	One Can See a World in a Flower; One Can See a Buddha in a Person
一花一界 一葉一如	One Can See a World in a Flower; One Can See a Buddha in a Leaf
一言	one word;
一言既出，駟馬難追	a word spoken is an arrow let fly
一路	all along the way
一路福星	Star of Fortune
一門	one gate
一音	one voice
一食頃	the time of a meal
一體不二	non-dual oneness
七七四十九日精進禪修	49-Day Meditation Retreat
七俠五義	Seven Chivalrous Knights
七情六欲	the seven emotions and six sensory pleasures
七戒塔	Seven Admonishments Pagoda
七眾弟子 1. 比丘 2. 比丘尼 3. 沙彌 4. 沙彌尼 5. 式叉摩那 6. 優婆塞 7. 優婆夷	Sevenfold Assembly: 1. bhiksu; 2. bhiksuni; 3. sramanera; 4. sramanerika; 5. siksamana; 6. upasaka; 7. upasika
七聖財; 1. 信仰 2. 聽聞 3. 慚愧 4. 定慧 5. 沙彌 6. 沙彌尼 7. 聲聞	Seven Kinds of Spiritual Wealth: 1. faith; 2. listening and learning; 3. conscience; 4. meditative wisdom; 5. sramanera; 6. sramaneri; 7. sravaka
七覺支	the Seven Factors of Enlightenment
七誡運動 一誡煙毒，二誡色情，三誡暴力，四誡偷盜，五誡賭博，六誡酗酒，七誡惡口。	1. Abstain from smoking and drugs 2. Abstain from sexual misconduct 3. Abstain from violence 4. Abstain from stealing 5. Abstain from gambling 6. Abstain from alcohol abuse 7. Abstain from coarse language.
丈夫自有沖天志 不向如來行處行	A man of spirit aspires to soar far and high; Refusing to walk the same path as the Buddha.
丈室	Small Room
三世	Three Periods of Time
三世因果	Cause and Effect Across the Three Lifetimes
三乘	Three Vehicles
三分師徒，七分道友	three parts guidance and seven parts friendship
三劫	Three Kalpas
三千	three thousand-fold
三千威儀，八萬細行	three thousand demeanors and eighty thousand subtle actions
三單監寺	Third Deputy Superintendent
三壇羅漢期戒會	Triple Plaftform Full Ordination Ceremony
三大阿僧祇劫; 1. 成劫 2. 住劫 3. 壞劫 4. 空劫               	Kalpa: 1. kalpa of formation; 2. kalpa of abiding; 3. kalpa of destruction; 4. kalpa of void
三好人	Three Acts of Goodness Practitioner
三好人家	Three Acts of Goodness Family
三好人生 四季花開	Three Acts of Goodness Practitioner; Spring All Year Long
三好人生 花開四季	Three Acts of Goodness Practitioner; Spring All Year Long
三好人生 萬家生佛	A Life Lived in the Three Acts of Goodness; Buddha Is in All Families
三好傳家	Let the Three Acts of Goodness Be a Family Legacy
三好兒童夏令營	Three Acts of Goodness Children's Summer Camp
三好塔	Three Goodness Pagoda
三好安家 五和興邦	Three Acts of Goodness Bring Peace to the Family; Five Harmonies Bring Prosperity to the Country
三好實踐校園	Three Acts of Goodness Schools
三好故事營	Three Acts of Goodness Story Camp
三好校園	Three Acts of Goodness School
三好校園 身做好事 口說好話 心存好念	Three Acts of Goodness School  Do Good Deeds Speak Good Words Think Good Thoughts
三好校園實踐學校頒獎典禮	Three Acts of Goodness School Award Ceremony
三好樓	Three Acts of Goodness Building
三好生命教育教材	Three Acts of Goodness Teaching Materials
三好體驗營	Three Acts of Goodness Camp
三學; 1. 戒學 2. 定學 3. 慧學	Threefold Training: 1. training on morality; 2. training on meditative concentration; 3. training on wisdom
三學增上明佛性 一塵不染照禪心	Along the progress of the Threefold Training one's buddha-nature is uncovered; Upon the state of purity shines the mind of Ch'an.
三寶; 1. 佛 2. 法 3. 僧	The Triple Gem: 1. Awakened One (Buddha); 2. Dharma; 3. Sangha
三寶佛	the Triple Gem Buddhas
三寶山	Triple Gem Mountain
三從	Three Obediences
三德; 1. 智德 2. 恩德 3. 斷德	Three Virtues of the Buddha: 1. wisdom; 2. kindness; 3. eliminating afflictions
三思	Three Mental Conditions
三思終有益 百忍永無憂	Nothing can go wrong with thinking thrice; No troubles befall an ever persevering mind.
三惡道	Three Lower Realms
三慧; 1. 聞慧 2. 思慧 3. 修慧	Three Kinds of Wisdom: 1. wisdom from hearing; 2. wisdom from thinking; 3. wisdom from practice
三摩地; 1. 常坐三昧 2. 常行三昧 3. 半行半坐三昧 4. 非行非坐三昧	Samadhi: 1. constant sitting samadhi; 2. constant walking samadhi; 3. half-walking, half-sitting samadhi; 4. non-walking and non-sitting samadhi
三昧	samadhi
三昧水慈善醫院	Samadhi Water Compassionate Relief Hospital
三昧火	fire of samadhi
三時	Three Periods of Time
三時佛法; 1. 正法 2. 像法 3. 末法	Three Ages of the Dharma: 1. age of right Dharma; 2. age of semblance Dharma; 3. age of declining Dharma
三時業; 1. 現報業 2. 生報業 3. 後報業	Effects of Karma of the Three Time Periods: 1. karmic effects in this life; 2. karmic effects in the next life; 3. karmic effects in future lives
三時繫念法會	Amitabha Triple Contemplation Service
三業; 1. 身業 2. 口業 3. 意業	Three Types of Karma: 1. physical karma; 2. verbal karma; 3. mental karma
三毒; 1. 貪毒 2. 瞋毒 3. 愚痴	Three Poisons: 1. the poison of greed; 2. the poison of anger; 3. the poison of ignorance
三法印; 1. 諸行無常 2. 諸法無我 3. 涅槃寂靜	Three Dharma Seals: 1. all conditioned phenomena are impermanent; 2. all phenomena are without an independent self; 3. Nirvana is perfect tranquility
三災	Three Calamities
三生	Three Lifetimes
三生有幸	blessings from the past three lifetimes
三界	Three Realms
