#Chinese	#English
劫數	Numerous Kalpas
勇敢的一面	On my brave side
勇者無畏	The Courageous Is Fearless
動土灑淨	Groundbreaking and Purification Ceremony
動靜一如	movement is the same as stillness
勘破	to penetrate
勝利	victory
勝鬘經十大受	Sutra on the Ten Precepts of Srimala
勤修戒定慧 息滅貪瞋痴	Diligently practice discipline, concentration and wisdom; Extinguish greed, anger, and ignorance.
勤儉致富 不二法門	Frugality is the Key to Being Wealthy; The Teaching of Non-Duality
勤勞可致富 和敬能安家	Diligence is the key to wealth; Harmony and respect are foundations of family.
勤勞能致富 和敬可安家	Diligence is the key to wealth; Harmony and respect are foundations of family.
勸化	Encourage to Transform
勸發菩提心文	An Inspiration to Give Rise to the Bodhi Mind
化世益人	Transform the World and Benefit Humanity
化緣化心，不一定化錢	The best donation is not of money, but of heart
化身	nirmanakaya
北京刻經處	Beijing Scriptural Press
北海女子佛學院	Beihai Women's Buddhist College
北海男眾學部	Beihai Men's Buddhist College
十不可 求革新不可太傷人 聽發言不可太主觀 做決定不可太草率 責備人不可太苛嚴 要他好不可太為難 用人才不可太傲慢 被要求不可太執著 對自己不可太寬容 被汙衊不可太衝動 受尊重不可太倨傲	Ten Must Nots One must not burn bridges when pushing for reform. One must not be overly subjective during a meeting. One must not be hasty in decision-making. One must not be too strict when reprimanding others. One must not have overly high expectations in others. One must not be too arrogant to one's subordinates. One must not be too stubborn when under expectations. One must not be too lenient with oneself. One must not be too impulsive when slandered. One must not be too proud when respected.
十不要 不要把情緒掛在臉上 不要被苦惱佔據內心 不要讓才華埋沒土中 不要將煩憂帶到床上 不要令誤會影響友誼 不要任理想隨意放棄 不要給是非增加困擾 不要將責任推給別人 不要讓遺憾帶進棺材 不要把仇恨記到明天	Ten Nevers Never show your feelings on your face. Never let troubles occupy your mind. Never let your talents be buried in the ground. Never take your worries to bed. Never let misunderstanding jeopardize friendships. Never give up on your dreams just like that. Never let gossip add to your troubles. Never shirk your responsibilities. Never take your regrets into the coffin. Never hold grudges till the next day.
十二因緣; 1. 無明 2. 行 3. 識 4. 名色 5. 六入 6. 觸 7. 受 8. 愛 9. 取 10. 有 11. 生 12. 老死	Dependent Origination: 1. ignorance; 2. mental formations; 3. consciousness; 4. name and form; 5. six sense organs; 6. contact; 7. feeling; 8. craving; 9. clinging; 10. becoming; 11. birth; 12. aging and death
十二條門規 1.不違期剃染 2.不私建道場 3.不夜宿俗家 4.不私交信者 5.不共財往來 6.不私自募緣 7.不染污僧倫 8.不私自請託 9.不私收徒眾 10.不私置產業 11.不私畜金錢 12.不私造飲食	Twelve rules of the Order 1. Monastics must keep a wholesome appearance by observing a regular grooming schedule. 2. Monastics are prohibited from building any private temples. 3. Monastics are prohibited from spending a night outside a Buddhist temple. 4. Monastics are prohibited from making personal friends of devotees. 5. Monastics are prohibited from making monetary arrangements with anyone. 6. Monastics are prohibited from raising money for personal purposes. 7. Monastics are prohibited from transgressing monastic ethics. 8. Monastics are prohibited from asking for personal favors. 9. Monastics are prohibited from recruiting personal disciples. 10. Monastics are prohibited from purchasing personal property. 11. Monastics are prohibited from accumulating personal savings. 12. Monastics are prohibited from preparing meals for themselves alone.
十二部經; 1. 長行 2. 重頌 3. 孤起 4. 譬喻5. 因緣 6. 無問自說 7. 本生 8. 本事 9. 未曾有 10. 方廣 11. 論議 12. 授記	Twelve Divisions of Sutras: 1. Sutra (discourses); 2. Geya (repeated verses); 3. Gatha (verses); 4. Avadana (parables); 5. Nidana (expositions of causes); 6. Udana (unprompted teachings); 7. Jataka (stories of the Buddha’s previous lives); 8. Itivrttaka (stories of the disciples’ previous lives); 9. Abdhutadharma (miracles); 10. Vaipulya (profound teachings); 11. Upadesa (debates); 12. Vyakarana (prophecies)
十二頭陀行 1. 在阿蘭若處 2. 常行乞食 3. 次第乞食 4. 受一食法 5. 節量食 6. 中午後不得飲漿 7. 著弊衲衣 8. 但三衣 9. 冢間住 10. 樹下止 11. 露地住 12. 但坐不臥	Ascetic Practices: 1. living in the wilderness; 2. only eating what is given as alms; 3. collecting alms in order; 4. receiving one meal per day; 5. eating a limited amount; 6. not drinking broth after noontime; 7. wearing robes of cast-off rags; 8. wearing only the three robes; 9. dwelling in cemeteries; 10. staying under a tree; 11. dwelling in an open place; 12. only sitting and not lying down
十供養	Ten Offerings
十全十美	Perfect in Every Way
十八地獄; 1. 頞浮陀地獄 2. 尼羅浮陀地獄 3. 阿吒吒地獄 4. 阿婆婆地獄 5. 喉喉婆地獄 6. 漚波羅地獄 7. 波頭摩地獄 8. 摩訶波頭摩地獄 9. 等活地獄 10. 黑繩地獄 11. 堆壓地獄 12. 叫喚地獄 13. 大叫喚地獄 14. 燒炙地獄 15. 大燒炙地獄 16. 無間地獄 17. 孤獨地獄 18. 近邊地獄	Hell: 1. Arbuda Hell; 2. Nirarbuda Hell; 3. Atata Hell; 4. Apapa Hell; 5. Huhuva Hell; 6. Utpala Hell; 7. Padma Hell; 8. Mahapadma Hell; 9. Samjiva Hell; 10. Kalasutra Hell; 11. Samghata Hell; 12. Raurava Hell; 13. Maharaurava Hell; 14. Tapana Hell; 15. Mahatapana Hell; 16. Avici Hell; 17. The Isolated Hells; 18. The Adjacent Hells
十八羅漢	Buddhism in Every Step: The Eighteen Arhats
十八羅漢; 1. 伏虎羅漢 2. 喜慶羅漢 3. 舉缽羅漢 4. 托塔羅漢 5. 靜坐羅漢 6. 過江羅漢 7. 騎象羅漢 8. 笑獅羅漢 9. 開心羅漢 10. 探手羅漢 11. 沉思羅漢 12. 挖耳羅漢 13. 布袋羅漢 14. 芭蕉羅漢 15. 長眉羅漢 16. 看門羅漢 17. 降龍羅漢 18. 乘鹿羅漢	Eighteen Arhats: 1. Pindolabharadvaja (The Tiger-Subduing Arhat); 2. Kanakavatsa (The Celebrating Arhat); 3. Kanakabharadvaja (The Bowl Raising Arhat); 4. Subinda (The Stupa Raising Arhat); 5. Nakula (The Meditating Arhat); 6. Bhadra (The River Crossing Arhat); 7. Kalika (The Elephant Riding Arhat); 8. Vajraputra (The Laughing Lion Arhat); 9. Jivaka (The Open Heart Arhat); 10. Panthaka (The Raised Arm Arhat); 11. Rahula (The Deep Thinking Arhat); 12. Nagasena (The Ear Picking Arhat); 13. Angaja (The Bag Carrying Arhat); 14. Vanavasin (The Banana Tree Arhat); 15. Ajita (The Long Eyebrow Arhat); 16. Cudapanthaka (The House Guarding Arhat); 17. Nandimitra (The Dragon-Subduing Arhat); 18. Pindola (The Sitting-on-Deer Arhat)
十地; 1. 歡喜地 2. 離垢地 3. 發光地 4. 燄慧地 5. 難勝地 6. 現前地 7. 遠行地 8. 不動地 9. 善慧地 10. 法雲地	Ten Grounds of Bodhisattva Path: 1. The Ground of Joy; 2. The Ground of Freedom from Defilement; 3. The Ground of Radiance; 4. The Ground of Brilliant Wisdom; 5. The Ground of Mastery of Final Difficulties; 6. The Ground of Manifesting Prajna-wisdom; 7. The Ground of Proceeding Afar; 8. The Ground of Attaining Calm; 9. The Ground of Finest Discriminatory Wisdom; 10. The Ground of the Dharma Cloud
十多十少歌 多一分理性 少一分情緒 多一分公義 少一分特權 多一分服務 少一分自私 多一分寬厚 少一分刻薄 多一分誠信 少一分虛假 多一分讚美 少一分惡口 多一分精進 少一分懈怠 多一分慈悲 少一分瞋恚 多一分喜捨 少一分慳吝 多一分禪心 少一分掛礙	Ten Ways to Be More and Be Less Be a little more rational and a little less emotional. Be a little more principled and a little less privileged. Be a little more helpful and a little less selfish. Be a little more kind and a little less harsh. Be a little more sincere and a little less pretentious. Be a little more complimenting and a little less insulting. Be a little more diligent and a little less idle. Be a little more compassionate and a little less hateful. Be a little more generous and a little less miserly. Be a little more Chan-like and a little less troubled.
十大弟子; 1. 舍利弗 2. 目犍連 3. 富樓那 4. 須菩提 5. 迦旃延 6. 大迦葉 7. 阿那律 8. 優婆離 9. 阿難陀 10. 羅睺羅	Ten Great Disciples of the Buddha: 1. Sariputra: Foremost in wisdom 2. Maudgalyayana: Foremost in Supernatural Powers 3. Purna: Foremost in Teaching the Dharma 4. Subhuti: Foremost in Understanding Emptiness 5. Mahakatyayana: Foremost in Debating the Dharma 6. Mahakasyapa: Foremost in Austerities 7. Aniruddha: Foremost in Heavenly Vision 8. Upali: Foremost in Monastic Discipline 9. Ananda: Foremost in Having Heard Much 10. Rahula: Foremost in Esoteric Practices
十大弟子傳	Biography of the Ten Principal Disciples
十好加十好 經一分挫折 得一分見識 容一分橫逆 長一分氣度 省一分算計 多一分道義 學一分退讓 討一分便宜 加一分體貼 悟一分人情 給一分機會 獲一分友誼 送一分方便 成一分事業 做一分美事 聚一分功德 說一分良言 增一分善緣 存一分好心 養一分福報	Ten + Ten  Each setback experienced means another enhancement of knowledge. Each adversity endured means another emergence of greater magnanimity. Each moment of calculation prevented means another growth of one's morality. Each compromise made means another advantage gained. Each act of consideration means another progress in reasoning. Every opportunity you offer means another friendship earned. Every convenience you make for others means another accomplishment. Every deed of kindness you do means another merit accumulated. Every honest advice you give means another good affinity created. Every kind thought you think means another blessing nurtured.
十如是; 1. 相 2. 性 3. 體 4. 力 5. 作 6. 因 7. 緣 8. 果 9. 報 10. 本末究竟	Ten Qualities: 1. form; 2. nature; 3. entity; 4. ability; 5. activity; 6. cause; 7. condition; 8. direct effect; 9. indirect effect; 10. complete from beginning to end
十數佛法 一心二門捐除真妄 二諦圓融緣起中道 三學增上入如來家 四大皆空示現諸有 五戒受持人天佛國 六波羅蜜自度利他 七菩提分增長智慧 八功德水清涼甘露 九品蓮生花開見佛 十大願王圓滿佛道	List of Ten Dharmas One Mind and its Two Aspects can eliminate both the genuine and the deceptive. Two Truths can harmonize dependent origination and the Middle Path. Threefold Training can guide one into the Tathagata's home. Four Elements can manifest emptiness through all forms of existence. Five Precepts help manifest the Buddha land in this world. Six Perfections can benefit both self and others. Seven Factors of Bodhi can enhance the growth of wisdom. Eight Merits Water is the nectar of soothing dew. Nine Stages of Lotus Incarnation enables buddhas to emerge from blooming lotuses. Ten Great Vows can enable the attainment of Buddhahood.
十方	The Ten Directions
十方三世	Ten Directions and Three Periods of Time
十方共成十方事 萬人同結萬人緣	Let goals for the whole world be accomplished by the whole world; Let affinity between countless people be developed by countless people.
十法界; 1. 地獄 2. 餓鬼 3. 畜生 4. 人 5. 阿修羅 6. 天 7. 聲聞 8. 緣覺 9. 菩薩 10. 佛	Ten Dharma Realms: 1. Hell; 2. Hungry Ghost Realm; 3. Animal Realm; 4. Human Realm; 5. Asura Realm; 6. Heavenly Realm; 7. Sravaka Realm; 8. Pratyekabuddha Realm; 9. Bodhisattva Realm; 10. Buddha Realm
十種幸福之道─佛說妙慧童女經	Ten Paths to Happiness
千喜萬福	Bountiful Joy and Plentiful Bliss
千家寺院百萬人寺碑牆	Benefactors Wall
千山同一月 萬戶盡皆春	Endless mountains all beneath the same moon; Myriad households all bathing in spring.
千年事業方寸內 萬里乾坤心懷中	Timeless accomplishment found in knowing one's place; Boundless world discovered in one's aspirations.
千年暗室 一燈即明	A Thousand-Year-Long Darkness Is Immediately Dispelled by a Single Lamp
千手千眼	Thousand Hands and Thousand Eyes
千手觀音	Thousand-Hand Guanyin
千江有水千江月 萬里無雲萬里天	A thousand moons in a thousand rivers; A boundless world across a cloudless sky.
千生萬死	Live a hundred times, die a thousand times.
千生萬死，萬死千生	a thousand lives, a million deaths
千處祈求千處應梵唄音樂會	“answering To Thousands of Prayers” Buddhist Hymn Concert
千載一時 一時千載	Once in a Thousand Years; A Thousand Years in a Moment
千載一時，一時千載	A thousand years in one moment
千里之行 始於足下	A Thousand-Mile Journey Begins with a Step
千錘百鍊才能成功	success comes after endless hammering and refinement
協會督導	Chapter Elder Advisor (BLIA)
南北大師喜相會講座	Two Masters, One Path Forum
南史	History of the Southern Dynasties
南天大學	Nan Tien Institute
南天橋	Nan Tien Bridge
南天橋落成典禮	Nan Tien Bridge Inauguration Ceremony
南海寄歸內法傳	A Record of Buddhist Practices Sent Home from the Southern Sea
南無	Blessed Be
南無佛	Homage to the Buddha
南無佛	namo buddha
南華大學	Nanhua University
南華足球隊	Nanhua University Soccer Team
博士人間佛教論壇	Humanistic Buddhism Doctorate Forum
博士後	Post-Doctorate
印度五比丘塔	Chaukhandi Mound, India
印度佛光文化公司	Buddha Light Art and Living Private Limited, New Delhi
印度佛陀涅槃塔	Mahaparinirvana Stupa, India
印度弘法之旅	Dharma Propagation Tour in India
印度菩提伽耶國際三壇大戒	Bodhgaya International Full Ordination Ceremony
印度菩提正覺大塔	Bodhgaya temple in India
印心	Heart-To-Heart Connection
厚德	Great Virtue
厚道	Honesty and Kindness
厚重	Deep and Heavy
去除煩惱垢 增長菩提心	Cleanse the dirt of defilement; Nurture the Bodhi Mind.
去除貪瞋痴 增長戒定慧	Eliminate greed, anger, and ignorance; Nurture discipline, concentration, and wisdom.
參學	travel and learn
參學瑣憶	Recollections of theTraveling Days
參禪	Contemplation on Chan
參究	Contemplative Investigation
參話頭	Inquire into the Expressions
參話頭	contemplate the head phrase (of a gongan)
友有四品; 1. 有友如花 2. 有友如秤 3. 有友如山 4. 有友如地	Four Kinds of Friends: 1. Friendship like a flower; 2. Friendship like a balance-scale; 3. Friendship like a mountain; 4. Friendship like the ground.
受五戒	to take the Five Precepts
受戒	Take the Precepts
受戒容易守戒難 發心容易恆心難 忍苦容易忍氣難 尊上容易尊下難 共無容易共有難 依人容易依法難 依神容易依佛難 為己容易為人難 信道容易行道難 處閒容易處眾難	Easy it is to take the precepts but harder to observe them. Easy it is to have aspirations but harder to persevere. Easy it is to endure suffering but harder to tolerate being wronged. Easy it is to respect one's superiors but harder to respect one's subordinates. Easy it is to accept loss but harder to share profits. Easy it is to rely on people but harder to rely on the Dharma. Easy it is to rely on the gods but harder to rely on the Buddha. Easy it is for the lesser good but harder for the greater good. Easy it is to believe but harder to practice. Easy it is to be at leisure but harder to be with people.
受持	uphold
受持五戒的意義	Buddhism in Every Step: The Five Precepts
受持戒法如瓔珞 可以莊嚴身心 堅定信仰如明燈 可以照破痴暗	Upholding precepts is like wearing an ornament that adorns both body and mind. Strengthened faith is like a shining light that dispels the darkness in the mind.
受用	Benefit
叢林	monastery
叢林大學	FGS Tsung-Lin University
叢林大學院	FGS Tsung-Lin University
叢林學院	Tsung Lin University
叢林尋根之旅	Roots Discovery Tour to FGS
口中吃的清和味 心裏常思佛土居	Taste the pure and harmonious flavors; Think constantly of the Buddha's abiding.
口業	Verbal Karma
口說不如身行 生氣不如爭氣 妒他不如學他 認命不如拼命	It is better to act than talk. It is better to step up than get worked up. It is better to learn from others than be jealous. It is better to try than yield.
口頭禪	lip service Chan
古人不見今時月 今月曾經照古人	Those from times past were unable to see today's moon; Yet today's moon once shone on those from bygone times.
古今多少事 都付笑談中	Laugh away all that has happened in the past and present.
古今譚	Past and Present Talks
古佛堂前風掃地 高山頂上月為燈	The winds will sweep the floor of an ancient Buddha shrine; The moon will illuminate the peace of the most noble mountain.
古德	Ancient Sages
古聖賢修身做起 大英雄立功為先	Sages began by cultivating themselves; Great heroes began with honorable acts.
只要有悲心 世間無善惡 只要有慧心 人生無痴迷 只要肯發心 人間無難事 只要有願心 地球無遠近	In this world, there is no good or bad in the eyes of compassion. In life, there is no ignorance or delusion in the eyes of wisdom. In this world, nothing is impossible in the face of aspiration. In this universe, there is no close or afar in the eyes of great vows.
只見江流千里外 不知身在五峰中	You see rivers flowing for thousands of miles; Never realizing you stand within the Five Peaks.
叫香	Clapper Signal
召請	Summoning
召集人	Executive Convener
台中慈善寺	Tzu Shan temple
台南天惠托兒所	Tainan Tien Hui Child Care Centre
台灣九二一大震	September 21st Earthquake in Taiwan
台灣佛學院	Tawanese Institute of Buddhist Studies (est. in 1948 by Ven. Tzu Hang)
台灣佛教	Buddhism Taiwan
台灣佛教講習會	Taiwan Buddhist Seminar
台灣南北行腳托缽法會	Anniversary Alms Procession Across Taiwan
台灣寺院管理講習會	National Buddhist Temple Management Seminar
台灣情義 中國夢景	Taiwan Sentiment, China Vision
台灣愛心，關懷南亞	Relief Program - Love from Taiwan, Care for South Asia
台灣靈巖山寺	Ling Yen Shan Temple
史傳類	Biographies
司庫	Treasury
吃十方	to live on offerings from the ten directions
吃得苦中苦 方為人上人	Out of the worst of the worst pains;
吃早齋	vegetarian breakfast
吃茶	Drink Tea
吃齋	Vegetarianism
各大專學校青年學佛營	Buddhist Youth Camps
各宗教領袖為世界和平聯評座談	Forum on World Peace with the Religious Leaders
各界人士看佛光山	Fo Guang Shan Through the Eyes of the World
合十	Joined Palms
合十	to bring the ten fingers or two palms together
合十人生	A Life of Joined Palms
合家歡	A Joyful Family Reunion
1. 合抱之木 生於幼苗 2. 穿石之水 始於涓滴 3. 成功之基 奠於勤勞 4. 悟道之緣 在於用心	A giant tree comes from tiny sprouts. Water that wears through rock comes from a stream of droplets. Success comes from a foundation built by diligence. Conditions for awakening come from commitment.
合掌	to join palms
吉	auspicious
吉星明月歸天上 白雲春風在眼前	Auspicious stars and the bright moon belong in the sky; White clouds and spring breezes are found before your eyes.
吉星明月歸天上 白雲清風在眼前	Auspicious stars and the bright moon belong in the sky; White clouds and soothing breezes are found before your eyes.
吉星明月歸天上 白雲青松在眼前	Auspicious stars and the bright moon belong in the sky; White clouds and green pines are found before your eyes.
吉星高照	Auspicious Star Shining High Above
吉星高照 好運會到	Auspicious Star Shining High Above; Good Luck Is Coming Soon
吉星高照 福滿家園	Auspicious Star Shining High Above; May There Be Happiness in the Family
吉星高照 萬事吉祥	Auspicious Star Shining High Above; May Everything Be Auspicious
吉祥地	Auspicious Land
吉祥經	Mangala Sutra
吉祥草	Auspicious Grass
同事	fellowship
同圓種智	Perfect the Seeds of Wisdom Together
同心同德	Same Mind, Same Virtue
同登法界	Gateway to Enlightenment
同登法界	Ascend with the Dharma Realm
名位謙讓為先 生活儉樸為重 處眾服務為本 心胸寬廣為要	Humility comes before fame. Diligence and frugality are the core of life. Service is the basis of fellowship. Magnanimity is the key to a peaceful mind.
名利看不破 道德難增長 私情放不下 事功難建立	One cannot grow morally without seeing beyond fame and gain; One cannot be accomplished without transcending personal matters.
名士志四海 古人惜寸陰	The noble man sets his heart on the world; The ancient sages set their minds on time.
名士志四海 浩氣養乾坤	The noble man sets his heart on the world; Nurturing the universe with awe-inspiring virtue.
名家百人碑牆	Fo Guang Shan's Wall of Plaques on One Hundred Artists and Masters
名家看百年佛緣	Reflections on Buddhist Affinity Across 100 Years
名聲天曉	Rising Dawn of Success
名譽院長	Honorary Dean (of college)
向前有路	Keep going
向受過現代教育的人介紹佛教	Introduction to Modern Day Intellectuals
向自己革命	Start a self-revolution
向道之心	commitment to the path
君來問道無餘說 雲在青天水在瓶	Not much to be said on your question about the Way; The clouds are up in the sky and water in the vase.
君子一言，快馬加鞭	a gentleman's word is as good as gold
君子慎始	The Accomplished Man Is Cautious from the Beginning
吾日三省	Examine Oneself Daily on Three Points
告白	Proclamation
味同嚼蠟	the taste of chewing candle
和南	Join Palms
和南	a salutation, to pay one's respects to
和合	Harmony
和尚	Most Venerable
和平	Peace
和愛島	Peace and Love Island
和敬	Harmony and Respect
和敬共生	Harmonious and Respectful Coexistence
和樂愛敬	harmony, joy, love, and respect
和諧	Harmony
和風吹綠柳 時雨潤春苗	Gentle breezes caress the green willows, Timely rains nourish the spring sprouts.
品牌	Brand Name
唯我獨尊	I alone am the honored one
問一聲您今哪裡去 望三思何日君再來	Upon the question, “where are you headed now?” Do think thrice about when your next return will be.
問菩薩為何倒坐 嘆眾生不肯回頭	One asks why the bodhisattva is sitting backwards; He sighs about beings refusing to change direction.
問道	Inquire About the Way
問道堂	Information Tower
問難	Interrogation
善哉	Sadhu
善因	Wholesome Cause
善因好緣	Virtuous Causes and Good Conditions
善報	wholesome retribution
善女人	good women
善導寺	Shan Dao Temple
善念	Virtuous Thoughts
善意	Kind Intentions
善方便	Expedient Means
善果	Virtuous Outcomes
善男子	good men
善知識; 1. 外護善知識 2. 同行善知識 3. 教授善知識	Dharma Friends: 1. good Dharma friends who give; 2. good Dharma friends who share in practice; 3. good Dharma friends who teach
善緣	Good Affinity
善緣好運	Good Affinity Brings Good Luck
善緣好運	Positive Affinities Bring Beneficial Results
善緣好運 諸事圓滿	Good Affinity Brings Good Luck; Harmonious Conditions in All
善觀因緣 遠見天下	Observe Causes and Conditions Well; Set Great Foresight on the World
善護念	Safeguard Your Thoughts
善護念	safeguard the mind
善護真心	Safeguard the Mind
善財	Sudhana
善財講師	Sudhana Lecturer
喜悅	Joy
喬達摩	Gautama
喬達摩梵唄音樂會	Gautama Buddhist Hymn Choir Concert
單位	a single seat, or position
單刀直入	to cut to the chase
嘉義會館	Chiayi Association
嚴以律己，寬以待人	be strict with oneself, yet go easy on others
嚴土熟生	majestic [pure] land and well-attained sentient beings
囑付	To Entrust
囑託	To Request
四事供養; 1. 飲食 2. 衣服 3. 臥具 4. 湯藥	Four Offerings: 1. Food and drink; 2. Clothing; 3. Bedding; 4. Medicine
四依止	Four Reliances
四依止; 1. 依法不依人 2. 依智不依識 3. 依義不依語 4. 依了義不依不了義	Four Reliances: 1. Rely on the Dharma, not on individual teachers; 2. Rely on wisdom, not on knowledge; 3. Rely on the meaning, not on the words; 4. Rely on the ultimate truth, not on relative truth
四分律	Four Part Vinaya
四十坡	Forty Steps
四合一救災行動	4-in-1 Rescue Mission
四單監寺	Fourth Deputy Superintendent
四大名山; 1. 普陀山 2. 五台山 3. 九華山 4. 峨嵋山	Four Great Mountains: 1. Mount Putuo; 2. Mount Wutai; 3. Mount Jiuhua; 4. Mount Emei
四大皆有 五蘊非空	The Four Elements Truly Exist; The Five Aggregates Were Never Empty
四大皆空; 1. 地 2. 水 3. 火 4. 風	Four Great Elements: 1. earth; 2. water; 3. fire; 4. wind
四大皆空示現有 五蘊和合亦非真	The empty nature of the Four Elements manifests in existence; The incorporation of the Five Aggregates is not real either.
四大譯師; 1. 鳩摩羅什 2. 玄奘 3. 真諦 4. 義淨 * 不空	Four Great Chinese Translators: 1. Kumarajiva; 2. Xuanzang; 3. Paramartha; 4. Yijing; * Amoghavajra (The Esoteric School additionally venerates the translator Amoghavajra, who they recognize as the Sixth Patriarch of their school.)
四大部洲; 1. 東勝身洲 2. 南贍部洲 3. 西牛貨洲 4. 北俱廬洲	Four Great Continents: 1. Purva-videha; 2. Jambu-dvipa; 3. Apara-godaniya; 4. Uttara-kuru
四威儀; 1. 行如風 2. 立如松 3. 坐如鐘 4. 臥如弓	Four Kinds of Comportment: 1. Walk like the wind; 2. Stand like a pine; 3. Sit like a bell; 4. Sleep like a bow
四季安康 六時吉祥	Peace and Good Health Throughout All Four Seasons; Auspicious Moments Throughout All Six Periods
四季花常好 百年月永圓	Blossoming flowers all seasons long; A perfect full moon through all passages of time.
四季花常好 萬年月永圓	Blossoming flowers all seasons long; A perfect full moon through all passages of time.
四季花常好 萬年月永明	Blossoming flowers all seasons long; A bright full moon through all passages of time.
四小不可輕; 1. 小小火苖 2. 幼小之龍 3. 年少王子 4. 年幼沙彌	Four Small Things Not to Be Taken Lightly: 1. Small little sparks; 2. Small young water nagas; 3. Small young princes; 4. Small young novices
四弘誓願	Four Universal Vows
四弘誓願; 1. 眾生無邊誓願度 2. 煩惱無盡誓願斷 3. 法門無量誓願學 4. 佛道無上誓願成	Four Universal Vows: 1. Sentient beings are limitless, I vow to liberate them; 2. Afflictions are endless, I vow to eradicate them; 3. Teachings are infinite, I vow to learn them; 4. Buddhahood is supreme, I vow to attain it
四念處; 1. 觀身不淨 2. 觀受是苦 3. 觀心無常 4. 觀法無我	Four Bases of Mindfulness: 1. contemplate the impurities of the body; 2. contemplate the suffering of feelings; 3. contemplate the impermanence of the mind; 4. contemplate the non-selfhood of phenomena
四恩總報; 1. 父母恩 2. 眾生恩 3. 國家恩 4. 三寶恩	Four Kinds of Gratitude: 1. Kindness of parents; 2. Kindness of sentient beings; 3. Kindness of one’s country; 4. Kindness of the Triple Gem
四悉檀; 1. 世界悉檀 2. 各各為人悉檀 3. 對治悉檀 4. 第一義悉檀	Four Modes of Teaching: 1. Worldly method; 2. Individual method; 3. Specific method; 4. Ultimate method
四攝; 1. 布施 2. 愛語 3. 利行 4. 同事	Four Means of Embracing: 1. Giving; 2. Kind words; 3. Altruism; 4. Empathy
四正勤; 1. 未生的惡法，使它不生 2. 已生的惡法，使它斷除 3. 未生的善法，令它生起 4. 已生的善法，令它增長	Right Effort: 1. Prevent unwholesome states; 2. End unwholesome states; 3. Develop wholesome states; 4. Strengthen wholesome states
四無量心; 1. 慈無量心 2. 悲無量心 3. 喜無量心 4. 捨無量心	Four Immeasurable Minds: 1. Immeasurable loving-kindness; 2. Immeasurable compassion; 3. Immeasurable joy; 4. Immeasurable equanimity
四給	Four Givings
四給塔	Four Givings Pagoda
四聖諦; 1. 苦諦 2. 集諦 3. 滅諦 4. 道諦	Four Noble Truths: 1. The truth of suffering; 2. The truth of the cause of suffering; 3. The truth of the cessation of suffering; 4. The truth of the path leading to the cessation of suffering
四聖諦塔	Four Noble Truths Stupas
回光返照	final radiance of the setting sun
回向; 1. 回事向理2. 回因向果 3. 回自向他 4. 回小向大 5. 回少向多 6. 回劣向勝 	Dedication: 1. Dedicating phenomena to the absolute; 2. Dedicating cause to effect; 3. Dedicating self to others; 4. Dedicating the small to the large; 5. Dedicating the few to the many; 6. Dedication of the inferior to the superior
回觀面目身清淨 又見乾坤日月明	To once again contemplate the purity of one's face and body; The universe's bright sun and moon are seen once again.
回頭	Turn Around
因果	cause and effect
因果報應	karmic retribution
因果業報，絲毫不爽	causes, conditions and retributions will never get it wrong
因緣	causes and conditions
因緣具足	All Causes and Conditions Present
因緣果	cause, condition, and effect
因緣果報	Causes, Conditions, and Effects
因緣果報，絲毫不爽	there is no error in causes, conditions and retributions
因緣能成就一切	Good causes and conditions lead to success
因緣觀	Causes and Conditions
國定佛誕節暨母親節慶祝大會	National Buddha's Day and Mother's Day Celebration
國定佛誕節浴佛大會	National Buddha's Birthday Bathing the Buddha Celebration
國際三壇大戒戒會	International Triple Platform Full Ordination Ceremony
國際佛光日	International Buddha's Light Day
國際佛光會世界總會會員代表大會	BLIA General Conference
國際佛光會世界總會理事會議	BLIA World Headquarters Board of Directors Meeting
國際佛光會日	Buddha's Light Day
國際佛光青年會議	BLIA Young Adult Conference
國際佛教促進會大陸弘法探親團	Dharma Propagation and Homecoming Group
國際佛教僧伽會議	International Monastic Conference
國際佛教僧伽研習會	International Monastic Seminar
國際佛教學術會議	International Buddhist Academic Conference
國際佛教會議	International Buddhist Academic Conference
國際佛教論壇	International Buddhist Forum
國際佛教青年會議	Buddha's Light International Youth Conference
國際僧伽研習會	International Monastic Seminar
國際書展暨蔬食博覽會	International Book Fair and Vegetarian Expo
國際禪學會議	International Conference on Chan Buddhism
國際素食博覽會	International Vegetarian & Organic Food Festival
國際萬緣三壇大戒	International Triple Platform Full Ordination Ceremony
圍繞	to surround
圓寂	perfect rest
圓滿	Perfection
圓滿七佛事法會	Final Seven-Day Period Chanting Service
圓滿自在	Wholeness and Freeness
圓滿菩提	Perfected Bodhi Wisdom
圓瑛法彙 (圓瑛法師全集)	Complete Collection of Venerable Yuan Ying
圓融	Perfect Harmony
圓覺	Perfect Enlightenment
圓覺經	Sutra of Complete Enlightenment
圓通	universally penetrating
圖利他人	Give others the advantage
團長	President (of group, e.g. BLIA-YAD)
在人間歡喜修行─維摩詰經	Joyful Realizations: Vimalakirti Sutra
在人間自在修行─八識講話	Carefree Living: A Commentary on the Eight Consciousnesses
在家戒會暨啟建水陸法會	Lay Buddhist Precepts Ceremony
在欲而無欲 居塵不染塵	In the face of desire, remain desireless; In a house of dust, stay dust-free.
